title,company,location,job_type,salary_min,salary_max,currency,salary_disclosed,posted_date,url,source,scraped_at
Assistant Business Manager,Mama Cass,,In late 1981 Charis Onabowale the Group Managing Director turned what was a gift into the billion naira company that now bears the registered name Mama Cass Restaurant Limited. The gift was a small sh...,,,,False,0001-05-22,https://www.myjobmag.com/job/assistant-business-manager-mama-cass,myjobmag,2026-05-24T21:41:53.665286
Marketing Representative,Resurgir Consulting,,"Resurgir Consulting is a Nigeria-based, people-first HR and recruitment agency focusing on connecting talent, culture, and strategy to help businesses grow. Located primarily in Lagos, the firm offers...",,,,False,0001-05-22,https://www.myjobmag.com/job/marketing-representative-resurgir-consulting-1,myjobmag,2026-05-24T21:41:53.665286
Van Sales Representative,Kels Global Ventures,,This company is looking to recruit qualified applicants for Van Sales Representative role,,,,False,0001-05-22,https://www.myjobmag.com/job/van-sales-representative-kels-global-ventures-1,myjobmag,2026-05-24T21:41:53.665286
Jobs,Fadac Resources,,"Proven methodology, profound impact, and sustainable results.
These are the component that makes our company unique. At Fadac Resources we provide businesses with human capital solutions that can hel...",,,,False,0001-05-22,https://www.myjobmag.com/jobs/accounts-and-tax-manager-at-fadac-resources,myjobmag,2026-05-24T21:41:53.665286
Jobs,Westfield Consulting,,"Westfield Consulting is a management consultancy firm, specialized in Increasing Your Business Performance. It is our mission to help our clients make the right decisions & improve their organizat...",,,,False,0001-05-22,https://www.myjobmag.com/jobs/business-development-officer-at-westfield-consulting-4,myjobmag,2026-05-24T21:41:53.665286
Jobs,Suacasa,,Suacasa is a property developer focused on building design-led properties. We build innovative and design-led schemes in a number of locations across Nigeria. We have continued to gain an outstanding...,,,,False,0001-05-22,https://www.myjobmag.com/jobs/interior-architectural-supervisor-at-suacasa-2,myjobmag,2026-05-24T21:41:53.665286
Information Technology Staff,Resurgir Consulting,,"Resurgir Consulting is a Nigeria-based, people-first HR and recruitment agency focusing on connecting talent, culture, and strategy to help businesses grow. Located primarily in Lagos, the firm offers...",,,,False,0001-05-22,https://www.myjobmag.com/job/information-technology-staff-resurgir-consulting,myjobmag,2026-05-24T21:41:53.665286
Jobs,Woodgate Structure Limited,,"Woodgate Structure Limited is a Human Resource Management and Business Structuring Company, with a mindset Structured towards Sincerity of Purpose, Professionalism and Integrity",,,,False,0001-05-22,https://www.myjobmag.com/jobs/operational-manager-at-woodgate-structure-limited,myjobmag,2026-05-24T21:41:53.665286
Marketing Executive,BAT Computer Technologies,,"Bat Computer Technologies Limited is a Technology Systems integration company with vast experience in the Design, Installation and Integration of Digital Networks, Telecommunication Systems and e-busi...",,,,False,0001-05-22,https://www.myjobmag.com/job/marketing-executive-bat-computer-technologies,myjobmag,2026-05-24T21:41:53.665286
Jobs,Afripoint Group Limited,,Afripoint Group Limited is a global innovative company that leverages technology to drive businesses across borders.,,,,False,0001-05-22,https://www.myjobmag.com/jobs/business-applications-sales-executive-at-afripoint-group-limited,myjobmag,2026-05-24T21:41:53.665286
Graphics Designer,FMR AGENCY,,"At FMR Agency we have unique and creative solutions that meet the clients expectations not only by realizing the clients business objectives, but particularly by our strict adherence to the ethical principles of public relations, we always search for opportunities beyond the agreed communications and the business objectives, we address special needs in other to find unique and tailored solutions through creative approaches.",,,,False,0001-05-22,https://www.myjobmag.com/job/graphics-designer-fmr-agency,myjobmag,2026-05-24T21:41:53.665286
Secretary to the General Manager,Lvtopsun New Energy Company Limited,,"Lvtopsun is one of the leading manufacturing company of solar products in nigeria, products like inverter, solar battery etc.",,,,False,0001-05-22,https://www.myjobmag.com/job/secretary-to-the-general-manager-lvtopsun-new-energy-company-limited,myjobmag,2026-05-24T21:41:53.665286
Jobs,Montaigne Place,,"Montaigne Place Is the leading luxury cosmetics, wellbeing and fragrance company in Nigeria. We are the hallmark of sophistication, luxury makeup, skincare innovation and sublime fragrances.",,,,False,0001-05-22,https://www.myjobmag.com/jobs/spa-manager-at-montaigne-place-1,myjobmag,2026-05-24T21:41:53.665286
Junior Accountant,TeamAce Limited,,"At TeamAce, we help businesses across different industries thrive. We work with businesses to create their desired change by getting the right people, designing bespoke business processes, leveraging...",,,,False,0001-05-22,https://www.myjobmag.com/job/junior-accountant-teamace-limited-7,myjobmag,2026-05-24T21:41:53.665286
Jobs,Strategic Outsourcing Limited,,"We provide our clients with the appropriate personnel and professional people management outsourcing services for different categories of staff.

Our services include:
Employment contract managemen...",,,,False,0001-05-22,https://www.myjobmag.com/jobs/jobs-at-strategic-outsourcing-limited-1,myjobmag,2026-05-24T21:41:53.665286
Credit Relationship Officer,Creditwise Financials Limited,,CreditWise Financials Limited is a Nigerian financial lending company fast becoming a known brand in the Micro and Retail lending sector. We focus on Sustainable Lending specifically targeted towards...,,,,False,0001-05-22,https://www.myjobmag.com/job/credit-relationship-officer-creditwise-financials-limited,myjobmag,2026-05-24T21:41:53.665286
"Specialist, Corporate Communications",Nile University of Nigeria,,"Founded in 2009, Nile University is a private multidisciplinary university based in Abuja, and a proud member of Honoris United Universities since 2020. Nile University currently has over 40 undergrad...",,,,False,0001-05-22,https://www.myjobmag.com/job/specialist-corporate-communications-nile-university-of-nigeria,myjobmag,2026-05-24T21:41:53.665286
Pharmacy Technician / CHEW / Auxiliary Nurse,Castville Solutions,,"At Castville Concept, we believe in reshaping perceptions around healthcare professionals and enhancing their contribution to healthcare delivery. Our mission is twofold: to connect retail pharmacies...",,,,False,0001-05-22,https://www.myjobmag.com/job/pharmacy-technician-chew-auxiliary-nurse-castville-solutions,myjobmag,2026-05-24T21:41:53.665286
Operations & Maintenance Engineer (Salar PV & Bess),ACO Nigeria,,"ACO Nigeria, a subsidiary of ACO Group, is a premier renewable energy provider focused on delivering innovative and sustainable solutions across West Africa. Established in 2023, the company leverages...",,,,False,0001-05-22,https://www.myjobmag.com/job/operations-maintenance-engineer-salar-pv-bess-aco-nigeria,myjobmag,2026-05-24T21:41:53.665286
Account Officer,Brilliant Performance Solutions Limited,,This company is looking to recruit qualified applicants for Account Officer role,,,,False,0001-05-22,https://www.myjobmag.com/job/account-officer-brilliant-performance-solutions-limited-7,myjobmag,2026-05-24T21:41:53.665286
Marketing and Sales Intern,Brooke Addison Group,,"Brooke Addison Group of Companies which specializes in the provision of facility, property, and hotel apartment management services; development services; real estate research, and investment advisory...",,,,False,0001-05-22,https://www.myjobmag.com/job/marketing-and-sales-intern-brooke-addison-group-2,myjobmag,2026-05-24T21:41:53.665286
Safety Manager,Elite Logistics & Development Services Limited,,Elite Logistics & Development Services Limited is an indigenous company with its operating office in Lagos and duly registered under the companies and allied matters ACT 1990 with RC1195367. ELADS Lim...,,,,False,0001-05-22,https://www.myjobmag.com/job/safety-manager-elite-logistics-development-services-limited,myjobmag,2026-05-24T21:41:53.665286
Marketing Analyst,Elite Logistics & Development Services Limited,,Elite Logistics & Development Services Limited is an indigenous company with its operating office in Lagos and duly registered under the companies and allied matters ACT 1990 with RC1195367. ELADS Lim...,,,,False,0001-05-22,https://www.myjobmag.com/job/marketing-analyst-elite-logistics-development-services-limited,myjobmag,2026-05-24T21:41:53.665286
Jobs,Exotic Pet Cafe,,"Exotic Pet Cafe is a luxury pet store that provides people with a unique experience where they can explore different kinds of exotic animals. EPC provides different types of services from Pet sales, V...",,,,False,0001-05-22,https://www.myjobmag.com/jobs/sales-customer-relationship-executive-at-exotic-pet-cafe,myjobmag,2026-05-24T21:41:53.665286
